schema,name,aliases,topics,program,authority,reason,report-date,start-date,end-date,country,notes,source_url
Person,Adolfo Salume Artinano,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,engaged in significant corruption and undermined democratic processes and institutions by bribing a Supreme Court Magistrate to avoid paying a fine.,2021,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Aldo Martín Sáenz Ulloa,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a current sub-director of the UAF, undermined democratic processes or institutions by taking part in a coordinated campaign to retaliate against critics of the Ortega-Murillo regime and to suppress dissent, using his position to facilitate asset seizures from 94 political dissidents in exile and 222 former political prisoners, without any legal basis.",2023,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Alejandro Enrique Genet Cruz,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"rector of Casimiro Sotelo University (formerly Central American University), undermined democratic processes or institutions by taking part in a coordinated campaign to retaliate against critics of the Ortega-Murillo regime and to suppress dissent by using his position to create policies that punish Casimiro Sotelo University faculty and students who do not take part in political activities for Ortega’s Sandinista National Liberation Front political party.",2023,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Alejandro Jorge Sinbaldi Aparicio,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former Minister of Communications, Infrastructure, and Housing, engaged in significant corruption when he participated in bribery and illegal electoral financing, and the laundering of the proceeds of corruption for personal gain. He is designated under Section 7031(c) for involvement in significant corruption.",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Alejandro Mejia Ferreti,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"the current third secretary of the National Assembly, undermined democratic processes and institutions by taking part in coordinated government retaliation to strip Nicaraguan citizenship from political opponents and critics of the Ortega-Murillo regime.",2023,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Alex Alberto Moraes Giron,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a former administrative manager of state-owned Strategic Investment of Honduras, engaged in significant corruption by misappropriating public funds during the COVID-19 pandemic, including by defrauding the Honduran government of approximately $1.6 million intended for facemasks to be used by medical personnel.",2023,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Alexander Lopez Orellana,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"the current mayor of El Progreso and secretary general of the Liberal Party’s Central Executive Council, engaged in significant corruption by improperly awarding multi-million dollar municipal contracts to his political allies.",2023,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Alvaro Colom Caballeros,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former president, engaged in significant corruption when he participated in fraud and embezzlement involving a new bus system in Guatemala City known as Transurbano.",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Andrea del Carmen Salas,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a prosecutor in the Public Prosecutor’s Office headquarters in Managua, undermined democratic processes or institutions by bringing spurious charges in order to jail regime opponents in the leadup to national elections.",2022,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Andrés Grégori Rodríguez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"commissioner of the Institute for Access to Public Information, undermined democratic processes or institutions by purposefully and wrongfully blocking access to public information through his position as a commissioner.",2023,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Angel Jancarlos Fernandez Gonzalez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a judge, undermined democratic processes or institutions when he convicted and sentenced prodemocracy leaders on vague, false charges of “undermining national integrity” in the sham trials of private sector leaders Luis Rivas, Michael Healy, and Alvaro Vargas; former Sandinista leader Dora Maria Tellez; opposition leaders Jose Antonio Peraza and Victor Hugo Tinoco.",2022,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Angela Davila Navarrete,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a current appeals court judge in the Criminal Appeals Court of Managua, undermined democratic processes or institutions by using the appeals court to facilitate a coordinated government campaign to retaliate against critics of the Ortega-Murillo regime and suppress dissent by stripping Nicaraguan citizenship from political opponents and critics of the Ortega-Murillo regime.",2023,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Arling Patricia Alonso Gomez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"the current first vice president of the National Assembly, undermined democratic processes or institutions by taking part in coordinated government retaliation to strip Nicaraguan citizenship from political opponents and critics of the Ortega-Murillo regime.",2023,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Audelia Rodriguez Rodrigo,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current member of congress, engaged in significant corruption by misappropriating funds from the publicly funded Limpieza de Solares y Calles development project to her personal accounts.",2021,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Augusto Domingo Cruz Asensio,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former member of congress, engaged in significant corruption by misappropriating funds from the public Generacion employment program to personal accounts.",2021,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Auxiliadora del Carmen Sequeira Suazo,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a prosecutor in Esteli, undermined democratic processes or institutions by bringing the regime’s case against pro-democracy activist and political prisoner Alexis Peralta and by pursuing spurious charges, convictions, and harsh sentences against regime opponents.",2022,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Axel Arturo Samayoa Camacho,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"the owner of several trucking and shipping companies operating in the government-run EMPORNAC (Atlantic) and EPQ (Pacific) ports, engaged in significant corruption by improperly colluding with public officials and paying bribes to ensure his companies won lucrative port contracts.",2022,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Blanca Aida Stalling Davila,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former Supreme Court Justice, engaged in significant corruption by participating in bribery schemes and inappropriately influencing the judicial branch. She is designated under Section 7031(c) for involvement in significant corruption.",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Boris Roberto Espana Caceres,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current congressional representative in the Guatemalan Congress, engaged in significant corruption when he participated in influence peddling and bribery.",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Carlos Alberto Ortiz,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a former president of Banco Hipotecario, a state-owned bank, engaged in significant corruption by laundering $97 million in exchange for $72,000 in bribes.",2023,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Carlos Armando Reyes Ramos,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current member of the Legislative Assembly, obstructed investigations into corruption by inappropriately influencing the Supreme Court Magistrate selection process.",2021,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Carlos Enrique Cruz Arana,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a former vice president of Banco Hipotecario, a state-owned bank, engaged in significant corruption by laundering $94.5 million in exchange for $64,500 in bribes.",2023,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Carlos Estuardo Galvez Barrios,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former Rector of the University of San Carlos (USAC), undermined the democratic process or institutions by using his standing in the legal community to influence members of the judicial nomination commission in the facilitation of the “Parallel Commissions 2020” scheme to stack the Supreme Court and Appellate Courts with corrupt judges.",2022,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Carlos Josue Montes Rodriguez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"Vice Secretary of Labor in 2011, engaged in significant corruption by accepting bribes to improperly award contracts to political allies and to expedite payments.",2022,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Carlos Josué Romero Puerto,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"Project Coordinator for Bono10 Mil, transferred proceeds of corruption when he aided the misappropriation of more than $500,000 from Bono 10 Mil, a presidential project aimed at reducing rural poverty.",2022,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Carlos Mauricio Funes Cartagena,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a former president of El Salvador, engaged in significant corruption by orchestrating and participating in several schemes involving bribery, embezzlement, and money laundering while president, pilfering hundreds of millions of dollars from state coffers.",2023,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
